Sample;Ch1;Ch2
510;0.021484375;0.021484375
511;0.009765625;0.015625
512;0.015625;0.021484375
513;0.013671875;0.013671875
514;0.021484375;0.017578125
515;0.017578125;0.015625
516;0.01171875;0.015625
517;0.021484375;0.015625
518;0.015625;0.01953125
519;0.0078125;0.01171875
520;0.015625;0.017578125
521;0.015625;0.01953125
522;0.015625;0.01171875
523;0.01171875;0.013671875
524;0.021484375;0.015625
525;0.02734375;0.017578125
526;0.021484375;0.025390625
527;0.017578125;0.017578125
528;0.015625;0.0234375
529;0.009765625;0.0234375
530;0.021484375;0.01171875
531;0.0078125;0.021484375
532;0.01171875;0.01171875
533;0.01171875;0.0234375
534;0.021484375;0.01953125
535;0.015625;0.017578125
536;0.0234375;0.017578125
537;0.017578125;0.017578125
538;0.017578125;0.021484375
539;0.0234375;0.017578125
540;0.01171875;0.01953125
541;0.013671875;0.017578125
542;0.013671875;0.021484375
543;0.017578125;0.015625
544;0.01953125;0.017578125
545;0.013671875;0.021484375
546;0.01953125;0.015625
547;0.0234375;0.01171875
548;0.0078125;0.009765625
549;0.01953125;0.01953125
550;0.01171875;0.0234375
551;0.013671875;0.01953125
552;0.0234375;0.01171875
553;0.017578125;0.015625
554;0.017578125;0.017578125
555;0.017578125;0.015625
556;0.021484375;0.017578125
557;0.01171875;0.021484375
558;0.005859375;0.013671875
559;0.015625;0.017578125
560;0.01953125;0.015625
561;0.017578125;0.021484375
562;0.01171875;0.01953125
563;0.01171875;0.01953125
564;0.015625;0.017578125
565;0.013671875;0.021484375
566;0.017578125;0.01953125
567;0.017578125;0.009765625
568;0.009765625;0.017578125
569;0.017578125;0.013671875
570;0.015625;0.013671875
571;0.01953125;0.015625
572;0.013671875;0.01953125
573;0.015625;0.013671875
574;0.01953125;0.02734375
575;0.021484375;0.01953125
576;0.017578125;0.013671875
577;0.015625;0.01953125
578;0.017578125;0.015625
579;0.021484375;0.01953125
580;0.015625;0.01171875
581;0.013671875;0.01953125
582;0.017578125;0.0234375
583;0.0078125;0.01953125
584;0.01953125;0.017578125
585;0.017578125;0.01953125
586;0.015625;0.013671875
587;0.01171875;0.0234375
588;0.01953125;0.013671875
589;0.01171875;0.01953125
590;0.015625;0.017578125
591;0.015625;0.0234375
592;0.017578125;0.015625
593;0.013671875;0.0234375
594;0.0078125;0.017578125
595;0.021484375;0.013671875
596;0.017578125;0.0234375
597;0.015625;0.021484375
598;0.009765625;0.017578125
599;0.017578125;0.015625
600;0.013671875;0.015625
601;0.017578125;0.01953125
602;0.021484375;0.015625
603;0.021484375;0.017578125
604;0.015625;0.017578125
605;0.017578125;0.01953125
606;0.017578125;0.013671875
607;0.017578125;0.01953125
608;0.015625;0.013671875
609;0.015625;0.01953125
610;0.01953125;0.01953125
611;0.017578125;0.01171875
612;0.013671875;0.015625
613;0.01953125;0.0234375
614;0.01953125;0.017578125
615;0.015625;0.01953125
616;0.015625;0.021484375
617;0.013671875;0.013671875
618;0.015625;0.021484375
619;0.013671875;0.013671875
